,DZD,AOA,ARS,AMD,AUD,EUR,AZN,BHD,BBD,BYN,EUR,BMD,BOB,BAM,BWP,BRL,BGN,CVE,KHR,XAF,CAD,KYD,XAF,CLP,CNY,COP,CDF,XAF,CRC,HRK,EUR,CZK,DKK,DOP,USD,EGP,USD,XAF,EUR,FJD,EUR,EUR,XAF,GEL,EUR,GHS,GIP,EUR,DKK,GTQ,GBP,GYD,HNL,HKD,HUF,ISK,INR,IDR,IQD,EUR,IMP,ILS,EUR,XOF,JMD,JPY,GBP,JOD,KZT,KES,KRW,EUR,KWD,KGS,LAK,EUR,LBP,LYD,CHF,EUR,EUR,MOP,MGA,MWK,MYR,MVR,EUR,MRU,MUR,MXN,MDL,MNT,EUR,MAD,MZN,MMK,NAD,EUR,NZD,NIO,NGN,MKD,NOK,OMR,PKR,"ILS, USD, and JOD",PAB  and USD,PGK,PYG,PEN,PHP,PLN,EUR,USD,QAR,RON,RUB,RWF,XCD,SAR,XOF,RSD,SGD,EUR,EUR,ZAR,EUR,LKR,SZL,SEK,CHF,TWD,TJS,TZS,THB,USD,TTD,TND,TRY,TMT,UGX,UAH,AED,GBP,USD,UYU,UZS,VEF,VND,ZMW,ZWD
GTQ,DZDGTQ,AOAGTQ,ARSGTQ,AMDGTQ,AUDGTQ,EURGTQ,AZNGTQ,BHDGTQ,BBDGTQ,BYNGTQ,EURGTQ,BMDGTQ,BOBGTQ,BAMGTQ,BWPGTQ,BRLGTQ,BGNGTQ,CVEGTQ,KHRGTQ,XAFGTQ,CADGTQ,KYDGTQ,XAFGTQ,CLPGTQ,CNYGTQ,COPGTQ,CDFGTQ,XAFGTQ,CRCGTQ,HRKGTQ,EURGTQ,CZKGTQ,DKKGTQ,DOPGTQ,USDGTQ,EGPGTQ,USDGTQ,XAFGTQ,EURGTQ,FJDGTQ,EURGTQ,EURGTQ,XAFGTQ,GELGTQ,EURGTQ,GHSGTQ,GIPGTQ,EURGTQ,DKKGTQ,1,GBPGTQ,GYDGTQ,HNLGTQ,HKDGTQ,HUFGTQ,ISKGTQ,INRGTQ,IDRGTQ,IQDGTQ,EURGTQ,IMPGTQ,ILSGTQ,EURGTQ,XOFGTQ,JMDGTQ,JPYGTQ,GBPGTQ,JODGTQ,KZTGTQ,KESGTQ,KRWGTQ,EURGTQ,KWDGTQ,KGSGTQ,LAKGTQ,EURGTQ,LBPGTQ,LYDGTQ,CHFGTQ,EURGTQ,EURGTQ,MOPGTQ,MGAGTQ,MWKGTQ,MYRGTQ,MVRGTQ,EURGTQ,MRUGTQ,MURGTQ,MXNGTQ,MDLGTQ,MNTGTQ,EURGTQ,MADGTQ,MZNGTQ,MMKGTQ,NADGTQ,EURGTQ,NZDGTQ,NIOGTQ,NGNGTQ,MKDGTQ,NOKGTQ,OMRGTQ,PKRGTQ,"ILS, USD, and JODGTQ",PAB  and USDGTQ,PGKGTQ,PYGGTQ,PENGTQ,PHPGTQ,PLNGTQ,EURGTQ,USDGTQ,QARGTQ,RONGTQ,RUBGTQ,RWFGTQ,XCDGTQ,SARGTQ,XOFGTQ,RSDGTQ,SGDGTQ,EURGTQ,EURGTQ,ZARGTQ,EURGTQ,LKRGTQ,SZLGTQ,SEKGTQ,CHFGTQ,TWDGTQ,TJSGTQ,TZSGTQ,THBGTQ,USDGTQ,TTDGTQ,TNDGTQ,TRYGTQ,TMTGTQ,UGXGTQ,UAHGTQ,AEDGTQ,GBPGTQ,USDGTQ,UYUGTQ,UZSGTQ,VEFGTQ,VNDGTQ,ZMWGTQ,ZWDGTQ
GBP,DZDGBP,AOAGBP,ARSGBP,AMDGBP,AUDGBP,EURGBP,AZNGBP,BHDGBP,BBDGBP,BYNGBP,EURGBP,BMDGBP,BOBGBP,BAMGBP,BWPGBP,BRLGBP,BGNGBP,CVEGBP,KHRGBP,XAFGBP,CADGBP,KYDGBP,XAFGBP,CLPGBP,CNYGBP,COPGBP,CDFGBP,XAFGBP,CRCGBP,HRKGBP,EURGBP,CZKGBP,DKKGBP,DOPGBP,USDGBP,EGPGBP,USDGBP,XAFGBP,EURGBP,FJDGBP,EURGBP,EURGBP,XAFGBP,GELGBP,EURGBP,GHSGBP,GIPGBP,EURGBP,DKKGBP,GTQGBP,1,GYDGBP,HNLGBP,HKDGBP,HUFGBP,ISKGBP,INRGBP,IDRGBP,IQDGBP,EURGBP,IMPGBP,ILSGBP,EURGBP,XOFGBP,JMDGBP,JPYGBP,1,JODGBP,KZTGBP,KESGBP,KRWGBP,EURGBP,KWDGBP,KGSGBP,LAKGBP,EURGBP,LBPGBP,LYDGBP,CHFGBP,EURGBP,EURGBP,MOPGBP,MGAGBP,MWKGBP,MYRGBP,MVRGBP,EURGBP,MRUGBP,MURGBP,MXNGBP,MDLGBP,MNTGBP,EURGBP,MADGBP,MZNGBP,MMKGBP,NADGBP,EURGBP,NZDGBP,NIOGBP,NGNGBP,MKDGBP,NOKGBP,OMRGBP,PKRGBP,"ILS, USD, and JODGBP",PAB  and USDGBP,PGKGBP,PYGGBP,PENGBP,PHPGBP,PLNGBP,EURGBP,USDGBP,QARGBP,RONGBP,RUBGBP,RWFGBP,XCDGBP,SARGBP,XOFGBP,RSDGBP,SGDGBP,EURGBP,EURGBP,ZARGBP,EURGBP,LKRGBP,SZLGBP,SEKGBP,CHFGBP,TWDGBP,TJSGBP,TZSGBP,THBGBP,USDGBP,TTDGBP,TNDGBP,TRYGBP,TMTGBP,UGXGBP,UAHGBP,AEDGBP,1,USDGBP,UYUGBP,UZSGBP,VEFGBP,VNDGBP,ZMWGBP,ZWDGBP
GYD,DZDGYD,AOAGYD,ARSGYD,AMDGYD,AUDGYD,EURGYD,AZNGYD,BHDGYD,BBDGYD,BYNGYD,EURGYD,BMDGYD,BOBGYD,BAMGYD,BWPGYD,BRLGYD,BGNGYD,CVEGYD,KHRGYD,XAFGYD,CADGYD,KYDGYD,XAFGYD,CLPGYD,CNYGYD,COPGYD,CDFGYD,XAFGYD,CRCGYD,HRKGYD,EURGYD,CZKGYD,DKKGYD,DOPGYD,USDGYD,EGPGYD,USDGYD,XAFGYD,EURGYD,FJDGYD,EURGYD,EURGYD,XAFGYD,GELGYD,EURGYD,GHSGYD,GIPGYD,EURGYD,DKKGYD,GTQGYD,GBPGYD,1,HNLGYD,HKDGYD,HUFGYD,ISKGYD,INRGYD,IDRGYD,IQDGYD,EURGYD,IMPGYD,ILSGYD,EURGYD,XOFGYD,JMDGYD,JPYGYD,GBPGYD,JODGYD,KZTGYD,KESGYD,KRWGYD,EURGYD,KWDGYD,KGSGYD,LAKGYD,EURGYD,LBPGYD,LYDGYD,CHFGYD,EURGYD,EURGYD,MOPGYD,MGAGYD,MWKGYD,MYRGYD,MVRGYD,EURGYD,MRUGYD,MURGYD,MXNGYD,MDLGYD,MNTGYD,EURGYD,MADGYD,MZNGYD,MMKGYD,NADGYD,EURGYD,NZDGYD,NIOGYD,NGNGYD,MKDGYD,NOKGYD,OMRGYD,PKRGYD,"ILS, USD, and JODGYD",PAB  and USDGYD,PGKGYD,PYGGYD,PENGYD,PHPGYD,PLNGYD,EURGYD,USDGYD,QARGYD,RONGYD,RUBGYD,RWFGYD,XCDGYD,SARGYD,XOFGYD,RSDGYD,SGDGYD,EURGYD,EURGYD,ZARGYD,EURGYD,LKRGYD,SZLGYD,SEKGYD,CHFGYD,TWDGYD,TJSGYD,TZSGYD,THBGYD,USDGYD,TTDGYD,TNDGYD,TRYGYD,TMTGYD,UGXGYD,UAHGYD,AEDGYD,GBPGYD,USDGYD,UYUGYD,UZSGYD,VEFGYD,VNDGYD,ZMWGYD,ZWDGYD
HNL,DZDHNL,AOAHNL,ARSHNL,AMDHNL,AUDHNL,EURHNL,AZNHNL,BHDHNL,BBDHNL,BYNHNL,EURHNL,BMDHNL,BOBHNL,BAMHNL,BWPHNL,BRLHNL,BGNHNL,CVEHNL,KHRHNL,XAFHNL,CADHNL,KYDHNL,XAFHNL,CLPHNL,CNYHNL,COPHNL,CDFHNL,XAFHNL,CRCHNL,HRKHNL,EURHNL,CZKHNL,DKKHNL,DOPHNL,USDHNL,EGPHNL,USDHNL,XAFHNL,EURHNL,FJDHNL,EURHNL,EURHNL,XAFHNL,GELHNL,EURHNL,GHSHNL,GIPHNL,EURHNL,DKKHNL,GTQHNL,GBPHNL,GYDHNL,1,HKDHNL,HUFHNL,ISKHNL,INRHNL,IDRHNL,IQDHNL,EURHNL,IMPHNL,ILSHNL,EURHNL,XOFHNL,JMDHNL,JPYHNL,GBPHNL,JODHNL,KZTHNL,KESHNL,KRWHNL,EURHNL,KWDHNL,KGSHNL,LAKHNL,EURHNL,LBPHNL,LYDHNL,CHFHNL,EURHNL,EURHNL,MOPHNL,MGAHNL,MWKHNL,MYRHNL,MVRHNL,EURHNL,MRUHNL,MURHNL,MXNHNL,MDLHNL,MNTHNL,EURHNL,MADHNL,MZNHNL,MMKHNL,NADHNL,EURHNL,NZDHNL,NIOHNL,NGNHNL,MKDHNL,NOKHNL,OMRHNL,PKRHNL,"ILS, USD, and JODHNL",PAB  and USDHNL,PGKHNL,PYGHNL,PENHNL,PHPHNL,PLNHNL,EURHNL,USDHNL,QARHNL,RONHNL,RUBHNL,RWFHNL,XCDHNL,SARHNL,XOFHNL,RSDHNL,SGDHNL,EURHNL,EURHNL,ZARHNL,EURHNL,LKRHNL,SZLHNL,SEKHNL,CHFHNL,TWDHNL,TJSHNL,TZSHNL,THBHNL,USDHNL,TTDHNL,TNDHNL,TRYHNL,TMTHNL,UGXHNL,UAHHNL,AEDHNL,GBPHNL,USDHNL,UYUHNL,UZSHNL,VEFHNL,VNDHNL,ZMWHNL,ZWDHNL
HKD,DZDHKD,AOAHKD,ARSHKD,AMDHKD,AUDHKD,EURHKD,AZNHKD,BHDHKD,BBDHKD,BYNHKD,EURHKD,BMDHKD,BOBHKD,BAMHKD,BWPHKD,BRLHKD,BGNHKD,CVEHKD,KHRHKD,XAFHKD,CADHKD,KYDHKD,XAFHKD,CLPHKD,CNYHKD,COPHKD,CDFHKD,XAFHKD,CRCHKD,HRKHKD,EURHKD,CZKHKD,DKKHKD,DOPHKD,USDHKD,EGPHKD,USDHKD,XAFHKD,EURHKD,FJDHKD,EURHKD,EURHKD,XAFHKD,GELHKD,EURHKD,GHSHKD,GIPHKD,EURHKD,DKKHKD,GTQHKD,GBPHKD,GYDHKD,HNLHKD,1,HUFHKD,ISKHKD,INRHKD,IDRHKD,IQDHKD,EURHKD,IMPHKD,ILSHKD,EURHKD,XOFHKD,JMDHKD,JPYHKD,GBPHKD,JODHKD,KZTHKD,KESHKD,KRWHKD,EURHKD,KWDHKD,KGSHKD,LAKHKD,EURHKD,LBPHKD,LYDHKD,CHFHKD,EURHKD,EURHKD,MOPHKD,MGAHKD,MWKHKD,MYRHKD,MVRHKD,EURHKD,MRUHKD,MURHKD,MXNHKD,MDLHKD,MNTHKD,EURHKD,MADHKD,MZNHKD,MMKHKD,NADHKD,EURHKD,NZDHKD,NIOHKD,NGNHKD,MKDHKD,NOKHKD,OMRHKD,PKRHKD,"ILS, USD, and JODHKD",PAB  and USDHKD,PGKHKD,PYGHKD,PENHKD,PHPHKD,PLNHKD,EURHKD,USDHKD,QARHKD,RONHKD,RUBHKD,RWFHKD,XCDHKD,SARHKD,XOFHKD,RSDHKD,SGDHKD,EURHKD,EURHKD,ZARHKD,EURHKD,LKRHKD,SZLHKD,SEKHKD,CHFHKD,TWDHKD,TJSHKD,TZSHKD,THBHKD,USDHKD,TTDHKD,TNDHKD,TRYHKD,TMTHKD,UGXHKD,UAHHKD,AEDHKD,GBPHKD,USDHKD,UYUHKD,UZSHKD,VEFHKD,VNDHKD,ZMWHKD,ZWDHKD
HUF,DZDHUF,AOAHUF,ARSHUF,AMDHUF,AUDHUF,EURHUF,AZNHUF,BHDHUF,BBDHUF,BYNHUF,EURHUF,BMDHUF,BOBHUF,BAMHUF,BWPHUF,BRLHUF,BGNHUF,CVEHUF,KHRHUF,XAFHUF,CADHUF,KYDHUF,XAFHUF,CLPHUF,CNYHUF,COPHUF,CDFHUF,XAFHUF,CRCHUF,HRKHUF,EURHUF,CZKHUF,DKKHUF,DOPHUF,USDHUF,EGPHUF,USDHUF,XAFHUF,EURHUF,FJDHUF,EURHUF,EURHUF,XAFHUF,GELHUF,EURHUF,GHSHUF,GIPHUF,EURHUF,DKKHUF,GTQHUF,GBPHUF,GYDHUF,HNLHUF,HKDHUF,1,ISKHUF,INRHUF,IDRHUF,IQDHUF,EURHUF,IMPHUF,ILSHUF,EURHUF,XOFHUF,JMDHUF,JPYHUF,GBPHUF,JODHUF,KZTHUF,KESHUF,KRWHUF,EURHUF,KWDHUF,KGSHUF,LAKHUF,EURHUF,LBPHUF,LYDHUF,CHFHUF,EURHUF,EURHUF,MOPHUF,MGAHUF,MWKHUF,MYRHUF,MVRHUF,EURHUF,MRUHUF,MURHUF,MXNHUF,MDLHUF,MNTHUF,EURHUF,MADHUF,MZNHUF,MMKHUF,NADHUF,EURHUF,NZDHUF,NIOHUF,NGNHUF,MKDHUF,NOKHUF,OMRHUF,PKRHUF,"ILS, USD, and JODHUF",PAB  and USDHUF,PGKHUF,PYGHUF,PENHUF,PHPHUF,PLNHUF,EURHUF,USDHUF,QARHUF,RONHUF,RUBHUF,RWFHUF,XCDHUF,SARHUF,XOFHUF,RSDHUF,SGDHUF,EURHUF,EURHUF,ZARHUF,EURHUF,LKRHUF,SZLHUF,SEKHUF,CHFHUF,TWDHUF,TJSHUF,TZSHUF,THBHUF,USDHUF,TTDHUF,TNDHUF,TRYHUF,TMTHUF,UGXHUF,UAHHUF,AEDHUF,GBPHUF,USDHUF,UYUHUF,UZSHUF,VEFHUF,VNDHUF,ZMWHUF,ZWDHUF
ISK,DZDISK,AOAISK,ARSISK,AMDISK,AUDISK,EURISK,AZNISK,BHDISK,BBDISK,BYNISK,EURISK,BMDISK,BOBISK,BAMISK,BWPISK,BRLISK,BGNISK,CVEISK,KHRISK,XAFISK,CADISK,KYDISK,XAFISK,CLPISK,CNYISK,COPISK,CDFISK,XAFISK,CRCISK,HRKISK,EURISK,CZKISK,DKKISK,DOPISK,USDISK,EGPISK,USDISK,XAFISK,EURISK,FJDISK,EURISK,EURISK,XAFISK,GELISK,EURISK,GHSISK,GIPISK,EURISK,DKKISK,GTQISK,GBPISK,GYDISK,HNLISK,HKDISK,HUFISK,1,INRISK,IDRISK,IQDISK,EURISK,IMPISK,ILSISK,EURISK,XOFISK,JMDISK,JPYISK,GBPISK,JODISK,KZTISK,KESISK,KRWISK,EURISK,KWDISK,KGSISK,LAKISK,EURISK,LBPISK,LYDISK,CHFISK,EURISK,EURISK,MOPISK,MGAISK,MWKISK,MYRISK,MVRISK,EURISK,MRUISK,MURISK,MXNISK,MDLISK,MNTISK,EURISK,MADISK,MZNISK,MMKISK,NADISK,EURISK,NZDISK,NIOISK,NGNISK,MKDISK,NOKISK,OMRISK,PKRISK,"ILS, USD, and JODISK",PAB  and USDISK,PGKISK,PYGISK,PENISK,PHPISK,PLNISK,EURISK,USDISK,QARISK,RONISK,RUBISK,RWFISK,XCDISK,SARISK,XOFISK,RSDISK,SGDISK,EURISK,EURISK,ZARISK,EURISK,LKRISK,SZLISK,SEKISK,CHFISK,TWDISK,TJSISK,TZSISK,THBISK,USDISK,TTDISK,TNDISK,TRYISK,TMTISK,UGXISK,UAHISK,AEDISK,GBPISK,USDISK,UYUISK,UZSISK,VEFISK,VNDISK,ZMWISK,ZWDISK
INR,DZDINR,AOAINR,ARSINR,AMDINR,AUDINR,EURINR,AZNINR,BHDINR,BBDINR,BYNINR,EURINR,BMDINR,BOBINR,BAMINR,BWPINR,BRLINR,BGNINR,CVEINR,KHRINR,XAFINR,CADINR,KYDINR,XAFINR,CLPINR,CNYINR,COPINR,CDFINR,XAFINR,CRCINR,HRKINR,EURINR,CZKINR,DKKINR,DOPINR,USDINR,EGPINR,USDINR,XAFINR,EURINR,FJDINR,EURINR,EURINR,XAFINR,GELINR,EURINR,GHSINR,GIPINR,EURINR,DKKINR,GTQINR,GBPINR,GYDINR,HNLINR,HKDINR,HUFINR,ISKINR,1,IDRINR,IQDINR,EURINR,IMPINR,ILSINR,EURINR,XOFINR,JMDINR,JPYINR,GBPINR,JODINR,KZTINR,KESINR,KRWINR,EURINR,KWDINR,KGSINR,LAKINR,EURINR,LBPINR,LYDINR,CHFINR,EURINR,EURINR,MOPINR,MGAINR,MWKINR,MYRINR,MVRINR,EURINR,MRUINR,MURINR,MXNINR,MDLINR,MNTINR,EURINR,MADINR,MZNINR,MMKINR,NADINR,EURINR,NZDINR,NIOINR,NGNINR,MKDINR,NOKINR,OMRINR,PKRINR,"ILS, USD, and JODINR",PAB  and USDINR,PGKINR,PYGINR,PENINR,PHPINR,PLNINR,EURINR,USDINR,QARINR,RONINR,RUBINR,RWFINR,XCDINR,SARINR,XOFINR,RSDINR,SGDINR,EURINR,EURINR,ZARINR,EURINR,LKRINR,SZLINR,SEKINR,CHFINR,TWDINR,TJSINR,TZSINR,THBINR,USDINR,TTDINR,TNDINR,TRYINR,TMTINR,UGXINR,UAHINR,AEDINR,GBPINR,USDINR,UYUINR,UZSINR,VEFINR,VNDINR,ZMWINR,ZWDINR
IDR,DZDIDR,AOAIDR,ARSIDR,AMDIDR,AUDIDR,EURIDR,AZNIDR,BHDIDR,BBDIDR,BYNIDR,EURIDR,BMDIDR,BOBIDR,BAMIDR,BWPIDR,BRLIDR,BGNIDR,CVEIDR,KHRIDR,XAFIDR,CADIDR,KYDIDR,XAFIDR,CLPIDR,CNYIDR,COPIDR,CDFIDR,XAFIDR,CRCIDR,HRKIDR,EURIDR,CZKIDR,DKKIDR,DOPIDR,USDIDR,EGPIDR,USDIDR,XAFIDR,EURIDR,FJDIDR,EURIDR,EURIDR,XAFIDR,GELIDR,EURIDR,GHSIDR,GIPIDR,EURIDR,DKKIDR,GTQIDR,GBPIDR,GYDIDR,HNLIDR,HKDIDR,HUFIDR,ISKIDR,INRIDR,1,IQDIDR,EURIDR,IMPIDR,ILSIDR,EURIDR,XOFIDR,JMDIDR,JPYIDR,GBPIDR,JODIDR,KZTIDR,KESIDR,KRWIDR,EURIDR,KWDIDR,KGSIDR,LAKIDR,EURIDR,LBPIDR,LYDIDR,CHFIDR,EURIDR,EURIDR,MOPIDR,MGAIDR,MWKIDR,MYRIDR,MVRIDR,EURIDR,MRUIDR,MURIDR,MXNIDR,MDLIDR,MNTIDR,EURIDR,MADIDR,MZNIDR,MMKIDR,NADIDR,EURIDR,NZDIDR,NIOIDR,NGNIDR,MKDIDR,NOKIDR,OMRIDR,PKRIDR,"ILS, USD, and JODIDR",PAB  and USDIDR,PGKIDR,PYGIDR,PENIDR,PHPIDR,PLNIDR,EURIDR,USDIDR,QARIDR,RONIDR,RUBIDR,RWFIDR,XCDIDR,SARIDR,XOFIDR,RSDIDR,SGDIDR,EURIDR,EURIDR,ZARIDR,EURIDR,LKRIDR,SZLIDR,SEKIDR,CHFIDR,TWDIDR,TJSIDR,TZSIDR,THBIDR,USDIDR,TTDIDR,TNDIDR,TRYIDR,TMTIDR,UGXIDR,UAHIDR,AEDIDR,GBPIDR,USDIDR,UYUIDR,UZSIDR,VEFIDR,VNDIDR,ZMWIDR,ZWDIDR
IQD,DZDIQD,AOAIQD,ARSIQD,AMDIQD,AUDIQD,EURIQD,AZNIQD,BHDIQD,BBDIQD,BYNIQD,EURIQD,BMDIQD,BOBIQD,BAMIQD,BWPIQD,BRLIQD,BGNIQD,CVEIQD,KHRIQD,XAFIQD,CADIQD,KYDIQD,XAFIQD,CLPIQD,CNYIQD,COPIQD,CDFIQD,XAFIQD,CRCIQD,HRKIQD,EURIQD,CZKIQD,DKKIQD,DOPIQD,USDIQD,EGPIQD,USDIQD,XAFIQD,EURIQD,FJDIQD,EURIQD,EURIQD,XAFIQD,GELIQD,EURIQD,GHSIQD,GIPIQD,EURIQD,DKKIQD,GTQIQD,GBPIQD,GYDIQD,HNLIQD,HKDIQD,HUFIQD,ISKIQD,INRIQD,IDRIQD,1,EURIQD,IMPIQD,ILSIQD,EURIQD,XOFIQD,JMDIQD,JPYIQD,GBPIQD,JODIQD,KZTIQD,KESIQD,KRWIQD,EURIQD,KWDIQD,KGSIQD,LAKIQD,EURIQD,LBPIQD,LYDIQD,CHFIQD,EURIQD,EURIQD,MOPIQD,MGAIQD,MWKIQD,MYRIQD,MVRIQD,EURIQD,MRUIQD,MURIQD,MXNIQD,MDLIQD,MNTIQD,EURIQD,MADIQD,MZNIQD,MMKIQD,NADIQD,EURIQD,NZDIQD,NIOIQD,NGNIQD,MKDIQD,NOKIQD,OMRIQD,PKRIQD,"ILS, USD, and JODIQD",PAB  and USDIQD,PGKIQD,PYGIQD,PENIQD,PHPIQD,PLNIQD,EURIQD,USDIQD,QARIQD,RONIQD,RUBIQD,RWFIQD,XCDIQD,SARIQD,XOFIQD,RSDIQD,SGDIQD,EURIQD,EURIQD,ZARIQD,EURIQD,LKRIQD,SZLIQD,SEKIQD,CHFIQD,TWDIQD,TJSIQD,TZSIQD,THBIQD,USDIQD,TTDIQD,TNDIQD,TRYIQD,TMTIQD,UGXIQD,UAHIQD,AEDIQD,GBPIQD,USDIQD,UYUIQD,UZSIQD,VEFIQD,VNDIQD,ZMWIQD,ZWDIQD
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
IMP,DZDIMP,AOAIMP,ARSIMP,AMDIMP,AUDIMP,EURIMP,AZNIMP,BHDIMP,BBDIMP,BYNIMP,EURIMP,BMDIMP,BOBIMP,BAMIMP,BWPIMP,BRLIMP,BGNIMP,CVEIMP,KHRIMP,XAFIMP,CADIMP,KYDIMP,XAFIMP,CLPIMP,CNYIMP,COPIMP,CDFIMP,XAFIMP,CRCIMP,HRKIMP,EURIMP,CZKIMP,DKKIMP,DOPIMP,USDIMP,EGPIMP,USDIMP,XAFIMP,EURIMP,FJDIMP,EURIMP,EURIMP,XAFIMP,GELIMP,EURIMP,GHSIMP,GIPIMP,EURIMP,DKKIMP,GTQIMP,GBPIMP,GYDIMP,HNLIMP,HKDIMP,HUFIMP,ISKIMP,INRIMP,IDRIMP,IQDIMP,EURIMP,1,ILSIMP,EURIMP,XOFIMP,JMDIMP,JPYIMP,GBPIMP,JODIMP,KZTIMP,KESIMP,KRWIMP,EURIMP,KWDIMP,KGSIMP,LAKIMP,EURIMP,LBPIMP,LYDIMP,CHFIMP,EURIMP,EURIMP,MOPIMP,MGAIMP,MWKIMP,MYRIMP,MVRIMP,EURIMP,MRUIMP,MURIMP,MXNIMP,MDLIMP,MNTIMP,EURIMP,MADIMP,MZNIMP,MMKIMP,NADIMP,EURIMP,NZDIMP,NIOIMP,NGNIMP,MKDIMP,NOKIMP,OMRIMP,PKRIMP,"ILS, USD, and JODIMP",PAB  and USDIMP,PGKIMP,PYGIMP,PENIMP,PHPIMP,PLNIMP,EURIMP,USDIMP,QARIMP,RONIMP,RUBIMP,RWFIMP,XCDIMP,SARIMP,XOFIMP,RSDIMP,SGDIMP,EURIMP,EURIMP,ZARIMP,EURIMP,LKRIMP,SZLIMP,SEKIMP,CHFIMP,TWDIMP,TJSIMP,TZSIMP,THBIMP,USDIMP,TTDIMP,TNDIMP,TRYIMP,TMTIMP,UGXIMP,UAHIMP,AEDIMP,GBPIMP,USDIMP,UYUIMP,UZSIMP,VEFIMP,VNDIMP,ZMWIMP,ZWDIMP
ILS,DZDILS,AOAILS,ARSILS,AMDILS,AUDILS,EURILS,AZNILS,BHDILS,BBDILS,BYNILS,EURILS,BMDILS,BOBILS,BAMILS,BWPILS,BRLILS,BGNILS,CVEILS,KHRILS,XAFILS,CADILS,KYDILS,XAFILS,CLPILS,CNYILS,COPILS,CDFILS,XAFILS,CRCILS,HRKILS,EURILS,CZKILS,DKKILS,DOPILS,USDILS,EGPILS,USDILS,XAFILS,EURILS,FJDILS,EURILS,EURILS,XAFILS,GELILS,EURILS,GHSILS,GIPILS,EURILS,DKKILS,GTQILS,GBPILS,GYDILS,HNLILS,HKDILS,HUFILS,ISKILS,INRILS,IDRILS,IQDILS,EURILS,IMPILS,1,EURILS,XOFILS,JMDILS,JPYILS,GBPILS,JODILS,KZTILS,KESILS,KRWILS,EURILS,KWDILS,KGSILS,LAKILS,EURILS,LBPILS,LYDILS,CHFILS,EURILS,EURILS,MOPILS,MGAILS,MWKILS,MYRILS,MVRILS,EURILS,MRUILS,MURILS,MXNILS,MDLILS,MNTILS,EURILS,MADILS,MZNILS,MMKILS,NADILS,EURILS,NZDILS,NIOILS,NGNILS,MKDILS,NOKILS,OMRILS,PKRILS,"ILS, USD, and JODILS",PAB  and USDILS,PGKILS,PYGILS,PENILS,PHPILS,PLNILS,EURILS,USDILS,QARILS,RONILS,RUBILS,RWFILS,XCDILS,SARILS,XOFILS,RSDILS,SGDILS,EURILS,EURILS,ZARILS,EURILS,LKRILS,SZLILS,SEKILS,CHFILS,TWDILS,TJSILS,TZSILS,THBILS,USDILS,TTDILS,TNDILS,TRYILS,TMTILS,UGXILS,UAHILS,AEDILS,GBPILS,USDILS,UYUILS,UZSILS,VEFILS,VNDILS,ZMWILS,ZWDILS
